region,småvilt,statistikkvariabel,intervall (år),value
Halden,Stokkand,Felte småvilt,2023-2024,40.0
Halden,Krikkand,Felte småvilt,2023-2024,0.0
Halden,Brunnakke,Felte småvilt,2023-2024,0.0
Halden,Kvinand,Felte småvilt,2023-2024,
Halden,Siland,Felte småvilt,2023-2024,0.0
Halden,Toppand,Felte småvilt,2023-2024,0.0
Halden,Ærfugl,Felte småvilt,2023-2024,
Halden,Laksand,Felte småvilt,2023-2024,0.0
Halden,Svartand,Felte småvilt,2023-2024,0.0
Halden,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Halden,Mandarinand,Felte småvilt,2023-2024,0.0
Halden,Stivhaleand,Felte småvilt,2023-2024,0.0
Halden,Grågås,Felte småvilt,2023-2024,60.0
Halden,Kanadagås,Felte småvilt,2023-2024,80.0
Halden,Kortnebbgås,Felte småvilt,2023-2024,0.0
Halden,Stripegås,Felte småvilt,2023-2024,0.0
Halden,Toppskarv,Felte småvilt,2023-2024,
Halden,Storskarv,Felte småvilt,2023-2024,10.0
Halden,Bever,Felte småvilt,2023-2024,20.0
Halden,Bisam,Felte småvilt,2023-2024,0.0
Halden,Hare,Felte småvilt,2023-2024,50.0
Halden,Sørhare,Felte småvilt,2023-2024,120.0
Halden,Viltlevende kanin,Felte småvilt,2023-2024,0.0
Halden,Ekorn,Felte småvilt,2023-2024,0.0
Halden,Rødrev,Felte småvilt,2023-2024,110.0
Halden,Grevling,Felte småvilt,2023-2024,40.0
Halden,Villmink,Felte småvilt,2023-2024,
Halden,Mår,Felte småvilt,2023-2024,10.0
Halden,Mårhund,Felte småvilt,2023-2024,0.0
Halden,Vaskebjørn,Felte småvilt,2023-2024,0.0
Halden,Røyskatt,Felte småvilt,2023-2024,0.0
Moss,I alt,Felte småvilt,2023-2024,810.0
Moss,Storfugl,Felte småvilt,2023-2024,
Moss,Orrfugl,Felte småvilt,2023-2024,
Moss,Lirype,Felte småvilt,2023-2024,0.0
Moss,Fjellrype,Felte småvilt,2023-2024,0.0
Moss,Jerpe,Felte småvilt,2023-2024,
Moss,Ringdue,Felte småvilt,2023-2024,350.0
Moss,Ravn,Felte småvilt,2023-2024,
Moss,Kråke,Felte småvilt,2023-2024,30.0
Moss,Skjære,Felte småvilt,2023-2024,30.0
Moss,Nøtteskrike,Felte småvilt,2023-2024,0.0
Moss,Gråtrost,Felte småvilt,2023-2024,40.0
Moss,Fasan,Felte småvilt,2023-2024,0.0
Moss,Rugde,Felte småvilt,2023-2024,
Moss,Enkeltbekkasin,Felte småvilt,2023-2024,
Moss,Stokkand,Felte småvilt,2023-2024,50.0
Moss,Krikkand,Felte småvilt,2023-2024,10.0
Moss,Brunnakke,Felte småvilt,2023-2024,
Moss,Kvinand,Felte småvilt,2023-2024,10.0
Moss,Siland,Felte småvilt,2023-2024,10.0
Moss,Toppand,Felte småvilt,2023-2024,0.0
Moss,Ærfugl,Felte småvilt,2023-2024,10.0
Moss,Laksand,Felte småvilt,2023-2024,0.0
Moss,Svartand,Felte småvilt,2023-2024,
Moss,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Moss,Mandarinand,Felte småvilt,2023-2024,0.0
Moss,Stivhaleand,Felte småvilt,2023-2024,0.0
Moss,Grågås,Felte småvilt,2023-2024,140.0
Moss,Kanadagås,Felte småvilt,2023-2024,40.0
Moss,Kortnebbgås,Felte småvilt,2023-2024,0.0
Moss,Stripegås,Felte småvilt,2023-2024,0.0
Moss,Toppskarv,Felte småvilt,2023-2024,10.0
Moss,Storskarv,Felte småvilt,2023-2024,10.0
Moss,Bever,Felte småvilt,2023-2024,0.0
Moss,Bisam,Felte småvilt,2023-2024,0.0
Moss,Hare,Felte småvilt,2023-2024,
Moss,Sørhare,Felte småvilt,2023-2024,0.0
Moss,Viltlevende kanin,Felte småvilt,2023-2024,0.0
Moss,Ekorn,Felte småvilt,2023-2024,0.0
Moss,Rødrev,Felte småvilt,2023-2024,20.0
Moss,Grevling,Felte småvilt,2023-2024,0.0
Moss,Villmink,Felte småvilt,2023-2024,
Moss,Mår,Felte småvilt,2023-2024,
Moss,Mårhund,Felte småvilt,2023-2024,0.0
Moss,Vaskebjørn,Felte småvilt,2023-2024,0.0
Moss,Røyskatt,Felte småvilt,2023-2024,0.0
Sarpsborg,I alt,Felte småvilt,2023-2024,2350.0
Sarpsborg,Storfugl,Felte småvilt,2023-2024,10.0
Sarpsborg,Orrfugl,Felte småvilt,2023-2024,0.0
Sarpsborg,Lirype,Felte småvilt,2023-2024,0.0
Sarpsborg,Fjellrype,Felte småvilt,2023-2024,0.0
Sarpsborg,Jerpe,Felte småvilt,2023-2024,0.0
Sarpsborg,Ringdue,Felte småvilt,2023-2024,780.0
Sarpsborg,Ravn,Felte småvilt,2023-2024,10.0
Sarpsborg,Kråke,Felte småvilt,2023-2024,170.0
Sarpsborg,Skjære,Felte småvilt,2023-2024,110.0
Sarpsborg,Nøtteskrike,Felte småvilt,2023-2024,60.0
Sarpsborg,Gråtrost,Felte småvilt,2023-2024,10.0
Sarpsborg,Fasan,Felte småvilt,2023-2024,
Sarpsborg,Rugde,Felte småvilt,2023-2024,10.0
Sarpsborg,Enkeltbekkasin,Felte småvilt,2023-2024,
Sarpsborg,Stokkand,Felte småvilt,2023-2024,190.0
Sarpsborg,Krikkand,Felte småvilt,2023-2024,10.0
Sarpsborg,Brunnakke,Felte småvilt,2023-2024,
Sarpsborg,Kvinand,Felte småvilt,2023-2024,20.0
